student_id,student_sex,student_major,student_english_level
2026714257,male,物理学,基础英语-人文
2026714256,male,物理学,基础英语-人文
2026714255,male,物理学,基础英语-人文
2026714254,male,物理学,基础英语-EF
2026714253,male,物理学,基础英语-EF
2026714252,male,物理学,基础英语-人文
2026714251,male,物理学,人文英语
2026714250,male,物理学,人文英语
2026714249,male,物理学,基础英语-人文
2026714248,male,物理学,基础英语-EF
2026714247,male,物理学,基础英语-人文
2026714246,male,物理学,人文英语
2026714245,male,物理学,人文英语
2026714244,male,物理学,基础英语-人文
2026714243,male,物理学,基础英语-人文
2026714242,female,物理学,人文英语
2026714241,male,物理学,基础英语-人文
2026714240,male,物理学,基础英语-人文
2026714239,male,物理学,基础英语-人文
2026714238,male,物理学,基础英语-人文
2026714237,male,物理学,基础英语-人文
2026714236,male,物理学,人文英语
2026714235,male,物理学,基础英语-EF
2026714234,male,物理学,基础英语-人文
2026714233,male,物理学,基础英语-EF
2026714232,male,物理学,基础英语-EF
2026714231,male,物理学,基础英语-人文
2026714230,male,物理学,基础英语-EF
2026714229,male,物理学,基础英语-EF
2026714228,female,物理学,基础英语-人文
2026714227,male,物理学,基础英语-EF
2026714226,male,物理学,基础英语-EF
2026714225,male,物理学,人文英语
2026714224,male,物理学,基础英语-EF
2026714223,male,物理学,基础英语-人文
2026714222,male,物理学,基础英语-人文
2026714221,male,物理学,基础英语-人文
2026714220,male,物理学,基础英语-人文
2026714219,male,物理学,基础英语-人文
2026714218,male,物理学,人文英语
2026714217,male,物理学,人文英语
2026714216,male,物理学,人文英语
2026714215,male,物理学,基础英语-人文
2026714214,male,物理学,人文英语
2026714213,male,物理学,基础英语-人文
2026714212,male,物理学,人文英语
2026714211,female,物理学,人文英语
2026714210,male,物理学,基础英语-人文
2026714209,male,物理学,基础英语-人文
2026714208,male,物理学,基础英语-人文
2026714207,female,物理学,人文英语
2026714206,male,物理学,基础英语-人文
2026714205,male,物理学,基础英语-人文
2026714204,female,物理学,人文英语
2026714203,male,物理学,基础英语-EF
2026714202,male,物理学,人文英语
2026794227,male,生物医学工程,人文英语
2026794226,female,生物医学工程,基础英语-人文
2026794225,male,生物医学工程,基础英语-人文
2026794224,female,生物医学工程,基础英语-人文
2026794223,female,生物医学工程,基础英语-人文
2026794222,male,生物技术,人文英语
2026794221,female,生物医学工程,基础英语-人文
2026794220,male,生物医学工程,基础英语-人文
2026794219,female,生物医学工程,基础英语-人文
2026794218,female,生物医学工程,基础英语-人文
2026794217,female,生物医学工程,人文英语
2026794216,female,工业设计-娱乐设计,基础英语-人文
2026794215,male,生物医学工程,基础英语-人文
2026794214,male,生物医学工程,基础英语-人文
2026794213,male,生物医学工程,基础英语-人文
2026794212,male,生物医学工程,基础英语-人文
2026794211,male,生物医学工程,人文英语
2026794210,male,生物医学工程,基础英语-EF
2026794209,male,生物医学工程,人文英语
2026794208,male,生物医学工程,人文英语
2026794207,female,生物医学工程,人文英语
2026794206,female,生物医学工程,基础英语-人文
2026794205,female,生物医学工程,基础英语-人文
2026794204,male,生物医学工程,基础英语-人文
2026794203,male,生物医学工程,人文英语
2026794202,female,生物医学工程,人文英语
2026725221,female,生物技术,基础英语-人文
